"","short.id","IGSN","Location","Site","Position","id","year","month","top_depth_cm","bottom_depth_cm","ppm_C","eoc_dry_mass","c_per_g_soil","eoc_method","ppm_C_sd","eoc_dry_mass_sd","c_per_g_soil_sd"
"149","LUQ-095","IECZM007S","LUQ","IC","R","LUQ-IC-R",2022,1,70,75,32.17,3.72,0.172956989,"hot water",NA,NA,NA
"150","LUQ-096","IECZM0078","LUQ","IC","M","LUQ-IC-M",2022,1,90,93,21.42,3.92,0.109285714,"hot water",NA,NA,NA
"151","LUQ-097","IECZM0074","LUQ","IC","M","LUQ-IC-M",2022,1,50,60,34.04,3.99,0.170626566,"hot water",NA,NA,NA
"152","LUQ-098","IECZM008G","LUQ","IC","T","LUQ-IC-T",2022,1,70,80,24.08,3.57,0.134901961,"hot water",NA,NA,NA
"153","LUQ-099","IECZM0087","LUQ","IC","R","LUQ-IC-R",2022,1,180,190,4.35,4.2,0.020714286,"hot water",NA,NA,NA
"154","LUQ-100","IECZM007Y","LUQ","IC","R","LUQ-IC-R",2022,1,110,120,11.55,3.72,0.062096774,"hot water",NA,NA,NA
"155","LUQ-101","IECZM007E","LUQ","IC","M","LUQ-IC-M",2022,1,140,145,10.17,3.81,0.053385827,"hot water",NA,NA,NA
"156","LUQ-102","IECZM0079","LUQ","IC","M","LUQ-IC-M",2022,1,93,100,25.26,3.91,0.129207161,"hot water",NA,NA,NA
"157","LUQ-103","IECZM007D","LUQ","IC","M","LUQ-IC-M",2022,1,130,140,15.63,3.8,0.082263158,"hot water",NA,NA,NA
"158","LUQ-104","IECZM0085","LUQ","IC","R","LUQ-IC-R",2022,1,165,170,6.52,4.28,0.03046729,"hot water",NA,NA,NA
"159","LUQ-105","IECZM007U","LUQ","IC","R","LUQ-IC-R",2022,1,80,90,23.68,3.69,0.128346883,"hot water",NA,NA,NA
"160","LUQ-106","IECZM008J","LUQ","IC","T","LUQ-IC-T",2022,1,100,110,19.28,3.8,0.101473684,"hot water",NA,NA,NA
"161","LUQ-107","IECZM007R","LUQ","IC","R","LUQ-IC-R",2022,1,60,70,38.38,3.79,0.202532982,"hot water",NA,NA,NA
"162","LUQ-108","IECZM008I","LUQ","IC","T","LUQ-IC-T",2022,1,90,100,24.87,3.38,0.147159763,"hot water",NA,NA,NA
"163","LUQ-109","IECZM0089","LUQ","IC","T","LUQ-IC-T",2022,1,0,10,44.6,2.5,0.3568,"hot water",NA,NA,NA
"164","LUQ-110","IECZM008B","LUQ","IC","T","LUQ-IC-T",2022,1,20,30,23.39,3.39,0.1379941,"hot water",NA,NA,NA
"165","LUQ-111","IECZM008L","LUQ","IC","T","LUQ-IC-T",2022,1,120,124,25.85,3.56,0.145224719,"hot water",NA,NA,NA
"166","LUQ-112","IECZM007T","LUQ","IC","R","LUQ-IC-R",2022,1,75,80,26.55,3.67,0.144686649,"hot water",NA,NA,NA
"167","R8-001","IECZM003Q","R8","H","M","R8-H-M",2021,11,20,24,33.94,3.68,0.184456522,"hot water",NA,NA,NA
"168","R8-002","IECZM004R","R8","P","M","R8-P-M",2021,11,10,20,45.68,4.3,0.212465116,"hot water",NA,NA,NA
"169","R8-003","IECZM003U","R8","H","M","R8-H-M",2021,11,50,60,22.01,3.65,0.12060274,"hot water",NA,NA,NA
"170","R8-004","IECZM004J","R8","H","R","R8-H-R",2021,11,130,140,16.48,4.58,0.071965066,"hot water",NA,NA,NA
"171","R8-005","IECZM004P","R8","H","R","R8-H-R",2021,11,190,200,11.65,4.53,0.051434879,"hot water",NA,NA,NA
"172","R8-006","IECZM004G","R8","H","R","R8-H-R",2021,11,100,110,10.47,4.37,0.04791762,"hot water",NA,NA,NA
"173","R8-007","IECZM004O","R8","H","R","R8-H-R",2021,11,180,190,16.19,4.32,0.074953704,"hot water",NA,NA,NA
"174","R8-008","IECZM004D","R8","H","R","R8-H-R",2021,11,80,85,8.2,4.28,0.038317757,"hot water",NA,NA,NA
"175","R8-009","IECZM004F","R8","H","R","R8-H-R",2021,11,90,100,7.81,4.28,0.036495327,"hot water",NA,NA,NA
"176","R8-010","IECZM004Y","R8","P","M","R8-P-M",2021,11,80,90,19.05,4.67,0.081584582,"hot water",NA,NA,NA
"177","R8-011","IECZM0043","R8","H","M","R8-H-M",2021,11,130,140,7.08,4.6,0.030782609,"hot water",NA,NA,NA
"178","R8-012","IECZM004E","R8","H","R","R8-H-R",2021,11,85,90,8.74,4.35,0.040183908,"hot water",NA,NA,NA
"179","R8-013","IECZM004I","R8","H","R","R8-H-R",2021,11,120,130,9.2,4.52,0.040707965,"hot water",NA,NA,NA
"180","R8-014","IECZM004H","R8","H","R","R8-H-R",2021,11,110,120,8.89,4.44,0.040045045,"hot water",NA,NA,NA
"181","R8-015","IECZM003Z","R8","H","M","R8-H-M",2021,11,90,100,30.23,4.6,0.1314347825,"hot water",3.02641702347842,0,0.0131583344235322
